method,layer,delta_d,delta_m
DoRA,roberta.encoder.layer.0.attention.self.value,0.03670439124107361,0.005081208888441324
DoRA,roberta.encoder.layer.1.attention.self.value,0.03016681782901287,0.005022443365305662
DoRA,roberta.encoder.layer.2.attention.self.value,0.026073258370161057,0.004956739954650402
DoRA,roberta.encoder.layer.3.attention.self.value,0.02321600541472435,0.00493883341550827
DoRA,roberta.encoder.layer.4.attention.self.value,0.02467731386423111,0.005114383064210415
DoRA,roberta.encoder.layer.5.attention.self.value,0.028576549142599106,0.005115742329508066
DoRA,roberta.encoder.layer.6.attention.self.value,0.028013356029987335,0.005059586372226477
DoRA,roberta.encoder.layer.7.attention.self.value,0.03733103349804878,0.006214231718331575
DoRA,roberta.encoder.layer.8.attention.self.value,0.025867827236652374,0.005528513342142105
DoRA,roberta.encoder.layer.9.attention.self.value,0.02734540030360222,0.005551045760512352
DoRA,roberta.encoder.layer.10.attention.self.value,0.022647202014923096,0.0053137741051614285
DoRA,roberta.encoder.layer.11.attention.self.value,0.03277916833758354,0.004531717859208584
LoRA,roberta.encoder.layer.0.attention.self.value,0.03521846607327461,0.0012661664513871074
LoRA,roberta.encoder.layer.1.attention.self.value,0.028131278231739998,0.0010949302231892943
LoRA,roberta.encoder.layer.2.attention.self.value,0.025226974859833717,0.0008956888341344893
LoRA,roberta.encoder.layer.3.attention.self.value,0.02397400327026844,0.0010449488181620836
LoRA,roberta.encoder.layer.4.attention.self.value,0.024926306679844856,0.0009838970145210624
LoRA,roberta.encoder.layer.5.attention.self.value,0.028512945398688316,0.0010700253769755363
LoRA,roberta.encoder.layer.6.attention.self.value,0.03082042746245861,0.0012198329204693437
LoRA,roberta.encoder.layer.7.attention.self.value,0.03722601383924484,0.0014066535513848066
LoRA,roberta.encoder.layer.8.attention.self.value,0.027831334620714188,0.0009920198936015368
LoRA,roberta.encoder.layer.9.attention.self.value,0.028106052428483963,0.00106566131580621
LoRA,roberta.encoder.layer.10.attention.self.value,0.023718414828181267,0.0008815891342237592
LoRA,roberta.encoder.layer.11.attention.self.value,0.03019927442073822,0.0012041289592161775
Full,roberta.encoder.layer.0.attention.self.value,0.003578437492251396,0.0001128999501815997
Full,roberta.encoder.layer.1.attention.self.value,0.0033942442387342453,0.0001118124055210501
Full,roberta.encoder.layer.10.attention.self.value,0.004626159556210041,0.00011406550038373098
Full,roberta.encoder.layer.11.attention.self.value,0.004937383811920881,0.00011269761307630688
Full,roberta.encoder.layer.2.attention.self.value,0.0033171598333865404,0.00011825621186289936
Full,roberta.encoder.layer.3.attention.self.value,0.0034655563067644835,0.00011890644964296371
Full,roberta.encoder.layer.4.attention.self.value,0.0038205909077078104,0.00011576888937270269
Full,roberta.encoder.layer.5.attention.self.value,0.003812960349023342,0.000115696617285721
Full,roberta.encoder.layer.6.attention.self.value,0.004288209602236748,0.00011445693962741643
Full,roberta.encoder.layer.7.attention.self.value,0.006364515516906977,0.00011859002552228048
Full,roberta.encoder.layer.8.attention.self.value,0.005268319509923458,0.00011881017417181283
Full,roberta.encoder.layer.9.attention.self.value,0.006262003444135189,0.00011892914335476235
