model,method,rank,avg
LLaMA Small,LoRA,4,84.9
LLaMA Small,DoRA,4,86.6
LLaMA Small,LoRA,8,86.5
LLaMA Small,DoRA,8,87.7
LLaMA Small,LoRA,16,87.2
LLaMA Small,DoRA,16,88.3
LLaMA Small,LoRA,32,87.6
LLaMA Small,DoRA,32,88.6
LLaMA Big,LoRA,4,86.8
LLaMA Big,DoRA,4,88.3
LLaMA Big,LoRA,8,88.6
LLaMA Big,DoRA,8,89.5
LLaMA Big,LoRA,16,89.1
LLaMA Big,DoRA,16,90.0
LLaMA Big,LoRA,32,89.4
LLaMA Big,DoRA,32,90.3
RoBERTa,LoRA,4,89.4
RoBERTa,DoRA,4,90.2
RoBERTa,LoRA,8,90.3
RoBERTa,DoRA,8,90.8
RoBERTa,LoRA,16,90.6
RoBERTa,DoRA,16,91.0
RoBERTa,LoRA,32,90.7
RoBERTa,DoRA,32,91.1
